lon,lat,marker-color,marker-size,marker-symbol,name
29.02231693267822,40.979962866583264,,,,
29.02538537979126,40.9814045825477,,,,
29.028990268707275,40.98174475812385,,,,
29.03214454650879,40.98291106106472,,,,
29.029870033264157,40.984952041582275,,,,
29.026308059692383,40.98440130703026,,,,
29.02283191680908,40.98336461774951,,,,
29.02916193008423,40.98724401980197,,,,
29.020042419433597,40.98817536628024,,,,
29.0233039855957,40.98929296469019,,,,
29.02687668800354,40.989641198005124,,,,
29.030481576919556,40.989778871133964,,,,
29.033678770065304,40.988782759070354,,,,
29.034461975097653,40.9914633190819,,,,
29.03100728988647,40.992240742081876,,,,
29.027531147003174,40.992499881044715,,,,
29.020793437957764,40.99091263891055,,,,
29.02853965759277,40.995350342410504,,,,
29.032359123229977,40.99470252110428,,,,
29.030213356018063,40.997552887232914,,,,
29.02635097503662,40.997164208200054,,,,
29.03302431106567,40.98628026481481,,,,
29.02231693267822,40.979962866583264,#7e7e7e,medium,,A1
29.02538537979126,40.9814045825477,#7e7e7e,medium,,A2
29.028990268707275,40.98174475812385,#7e7e7e,medium,,A3
29.03214454650879,40.98291106106472,#7e7e7e,medium,,A4
29.029870033264157,40.984952041582275,#7e7e7e,medium,,B3
29.026308059692383,40.98440130703026,#7e7e7e,medium,,B2
29.02283191680908,40.98336461774951,#7e7e7e,medium,,B1
29.02916193008423,40.98724401980197,#7e7e7e,medium,,C3
29.020042419433597,40.98817536628024,#7e7e7e,medium,,D1
29.0233039855957,40.98929296469019,#7e7e7e,medium,,D2
29.02687668800354,40.989641198005124,#7e7e7e,medium,,D3
29.030481576919556,40.989778871133964,#7e7e7e,medium,,D4
29.033678770065304,40.988782759070354,#7e7e7e,medium,,D5
29.034461975097653,40.9914633190819,#7e7e7e,medium,,E5
29.03100728988647,40.992240742081876,#7e7e7e,medium,,E4
29.027531147003174,40.992499881044715,#7e7e7e,medium,,E3
29.020793437957764,40.99091263891055,#7e7e7e,medium,,E1
29.02853965759277,40.995350342410504,#7e7e7e,medium,,F2
29.032359123229977,40.99470252110428,#7e7e7e,medium,,F3
29.030213356018063,40.997552887232914,#7e7e7e,medium,,G2
29.02635097503662,40.997164208200054,#7e7e7e,medium,,G1
29.03302431106567,40.98628026481481,#7e7e7e,medium,,C4
29.0244197845459,40.99161718477827,#7e7e7e,medium,,E2
29.025042057037354,40.994475782143084,#7e7e7e,medium,,F1
29.02527809143066,40.986814786127184,#7e7e7e,medium,,C2
29.021780490875244,40.98584292597287,#7e7e7e,medium,,C1
